,Class,Confidence
0, 'Band Aid',17.944712936878204
1, 'Pomeranian',2.5619715452194214
2," 'teddy, teddy bear'",2.4891894310712814
3, 'tick',2.3103097453713417
4, 'hamster',2.2375330328941345
